position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	2.48e-05	1	1.90169e-07	0.000150746	0.999849
N/A	2.48e-05	1	2.00546e-07	0.000395905	0.999604
N/A	2.48e-05	1	1.14463e-07	2.5343e-06	0.999997
N/A	2.48e-05	1	1.48989e-07	7.80431e-06	0.999992
N/A	2.48e-05	1	1.56515e-07	3.44818e-05	0.999966
N/A	2.48e-05	1	1.4591e-07	0.000120244	0.99988
N/A	2.48e-05	0.999999	7.70574e-07	0.000990423	0.99901
N/A	2.48e-05	1	2.03436e-07	4.13298e-05	0.999959
N/A	2.48e-05	1	1.07743e-07	0.000299361	0.999701
N/A	2.48e-05	1	1.27919e-07	3.33302e-07	1
N/A	2.48e-05	1	1.60462e-07	5.70572e-07	0.999999
N/A	2.48e-05	1	3.81915e-07	1.37143e-05	0.999986
N/A	2.48e-05	1	2.2213e-07	0.000175813	0.999824
N/A	2.48e-05	1	3.40071e-07	0.00222885	0.997771
N/A	2.48e-05	1	1.98542e-07	2.68679e-05	0.999973
N/A	2.48e-05	1	1.11756e-07	0.000670938	0.999329
N/A	2.48e-05	1	1.45782e-07	8.6007e-06	0.999991
N/A	2.48e-05	1	1.38505e-07	0.00556369	0.994436
N/A	2.48e-05	1	4.43403e-07	0.00608328	0.993917
N/A	2.48e-05	1	4.41184e-07	0.000299901	0.9997
N/A	2.48e-05	1	1.6077e-07	2.12463e-06	0.999998
N/A	2.48e-05	1	1.31643e-07	0.00436882	0.995631
N/A	2.48e-05	1	1.74292e-07	6.59277e-06	0.999993
N/A	2.48e-05	1	1.03594e-07	3.09222e-06	0.999997
N/A	2.48e-05	1	1.25262e-07	9.53116e-06	0.99999
N/A	2.48e-05	1	3.58728e-07	3.61856e-07	1
N/A	2.48e-05	1	2.31804e-07	0.00480819	0.995192
N/A	2.48e-05	1	2.60825e-07	7.84957e-05	0.999922
N/A	2.48e-05	1	1.92119e-07	8.78774e-07	0.999999
N/A	2.48e-05	1	2.22828e-07	4.67146e-06	0.999995
N/A	2.48e-05	1	1.49698e-07	6.43761e-07	0.999999
N/A	2.48e-05	1	1.63593e-07	0.000648476	0.999352
N/A	2.48e-05	1	1.32036e-07	0.000158067	0.999842
N/A	2.48e-05	1	1.44883e-07	2.59523e-07	1
N/A	2.48e-05	1	2.07018e-07	3.65018e-05	0.999963
N/A	2.48e-05	1	1.73241e-07	5.23026e-06	0.999995
N/A	2.48e-05	1	1.73424e-07	6.25897e-07	0.999999
N/A	2.48e-05	1	3.01092e-07	0.00167877	0.998321
N/A	2.48e-05	1	4.62542e-07	0.00615771	0.993842
N/A	2.48e-05	1	1.59537e-07	6.39766e-05	0.999936
N/A	2.48e-05	1	1.19804e-07	0.000175118	0.999825
N/A	2.48e-05	1	1.37839e-07	0.00311299	0.996887
N/A	2.48e-05	1	1.51602e-07	2.54655e-06	0.999997
N/A	2.48e-05	1	1.99153e-07	1.1717e-07	1
N/A	2.48e-05	1	1.90783e-07	0.000197292	0.999803
N/A	2.48e-05	1	1.11963e-07	0.00408838	0.995912
N/A	2.48e-05	1	1.46937e-07	3.64023e-07	1
N/A	2.48e-05	1	1.84814e-07	2.09348e-06	0.999998
N/A	2.48e-05	1	1.03241e-07	0.000952139	0.999048
N/A	2.48e-05	1	2.18352e-07	0.00108323	0.998917
N/A	2.48e-05	1	1.17133e-07	0.00165905	0.998341
N/A	2.48e-05	1	2.43312e-07	0.000315543	0.999684
N/A	2.48e-05	1	1.12951e-07	0.00243077	0.997569
N/A	2.48e-05	0.999999	6.64353e-07	0.000405112	0.999595
N/A	2.48e-05	1	2.4248e-07	8.5169e-05	0.999915
N/A	2.48e-05	1	1.16097e-07	0.00359742	0.996403
N/A	2.48e-05	1	1.1356e-07	0.00091951	0.99908
N/A	2.48e-05	1	1.69329e-07	0.000175347	0.999825
N/A	2.48e-05	1	2.87379e-07	0.000659564	0.99934
N/A	2.48e-05	1	3.56267e-07	0.00850201	0.991498
N/A	2.48e-05	1	1.49154e-07	0.000125941	0.999874
N/A	2.48e-05	1	2.33433e-07	1.44715e-06	0.999999
N/A	2.48e-05	1	2.08391e-07	3.03256e-07	1
N/A	2.48e-05	1	1.48727e-07	0.00324618	0.996754
N/A	2.48e-05	1	1.66337e-07	9.06265e-05	0.999909
N/A	2.48e-05	1	2.54386e-07	1.6118e-06	0.999998
N/A	2.48e-05	1	1.37354e-07	4.16642e-05	0.999958
N/A	2.48e-05	1	3.332e-07	0.00728412	0.992716
N/A	2.48e-05	1	1.05373e-07	6.05343e-07	0.999999
N/A	2.48e-05	1	1.48393e-07	4.45773e-06	0.999996
N/A	2.48e-05	1	2.34538e-07	8.71007e-07	0.999999
N/A	2.48e-05	0.999999	5.88826e-07	5.44262e-05	0.999946
N/A	2.48e-05	1	2.36869e-07	2.33443e-06	0.999998
N/A	2.48e-05	1	2.63665e-07	3.47429e-06	0.999997
N/A	2.48e-05	1	1.75123e-07	1.26352e-05	0.999987
N/A	2.48e-05	1	2.92103e-07	3.91136e-06	0.999996
N/A	2.48e-05	1	1.77653e-07	6.92975e-06	0.999993
N/A	2.48e-05	0.999999	6.59234e-07	2.25513e-07	1
N/A	2.48e-05	1	1.70082e-07	1.74379e-05	0.999983
N/A	2.48e-05	0.999999	8.56831e-07	0.00672015	0.99328
N/A	2.48e-05	1	2.76818e-07	0.00249864	0.997501
N/A	2.48e-05	0.999999	6.5367e-07	0.00375304	0.996247
N/A	2.48e-05	1	1.66131e-07	1.97247e-07	1
N/A	2.48e-05	1	1.08838e-07	0.00627299	0.993727
N/A	2.48e-05	1	4.17012e-07	7.51779e-06	0.999992
N/A	2.48e-05	1	1.18709e-07	2.96832e-06	0.999997
N/A	2.48e-05	1	1.38727e-07	0.00242032	0.99758
N/A	2.48e-05	1	1.24904e-07	3.44932e-05	0.999966
N/A	2.48e-05	1	1.65916e-07	6.16983e-07	0.999999
N/A	2.48e-05	1	4.56863e-07	0.00977259	0.990227
N/A	2.48e-05	1	2.32053e-07	2.8138e-05	0.999972
N/A	2.48e-05	1	1.54231e-07	5.0076e-05	0.99995
N/A	2.48e-05	1	2.82202e-07	5.72767e-06	0.999994
N/A	2.48e-05	1	1.19585e-07	1.9143e-05	0.999981
N/A	2.48e-05	1	2.31695e-07	1.00912e-05	0.99999
N/A	2.48e-05	1	2.40384e-07	2.7212e-05	0.999973
N/A	2.48e-05	1	2.26073e-07	2.19659e-07	1
N/A	2.48e-05	1	1.08276e-07	5.69202e-06	0.999994
N/A	2.48e-05	1	2.74829e-07	3.2973e-05	0.999967
N/A	2.48e-05	1	1.04301e-07	0.000296573	0.999703
N/A	2.48e-05	1	1.65501e-07	5.36379e-06	0.999995
N/A	2.48e-05	1	2.22166e-07	1.15087e-05	0.999988
N/A	2.48e-05	0.999999	5.59932e-07	1.87843e-07	1
N/A	2.48e-05	1	4.0667e-07	2.71549e-07	1
N/A	2.48e-05	1	2.54386e-07	1.49648e-07	1
N/A	2.48e-05	1	1.42805e-07	2.50254e-07	1
N/A	2.48e-05	1	1.08058e-07	2.9492e-07	1
N/A	2.48e-05	1	1.01377e-07	1.24775e-06	0.999999
N/A	2.48e-05	1	2.91163e-07	3.81077e-07	1
N/A	2.48e-05	1	1.24205e-07	8.73804e-06	0.999991
N/A	2.48e-05	1	1.13445e-07	0.00709595	0.992904
N/A	2.48e-05	1	2.24311e-07	0.00587018	0.99413
N/A	2.48e-05	1	1.04269e-07	4.21791e-07	1
N/A	2.48e-05	1	4.7295e-07	6.63729e-06	0.999993
N/A	2.48e-05	1	1.80337e-07	0.00934266	0.990657
N/A	2.48e-05	1	4.94853e-07	5.65282e-05	0.999943
N/A	2.48e-05	1	2.07632e-07	8.82782e-06	0.999991
N/A	2.48e-05	1	1.19859e-07	2.89643e-06	0.999997
N/A	2.48e-05	1	1.07629e-07	8.71144e-07	0.999999
N/A	2.48e-05	1	1.29814e-07	2.63928e-07	1
N/A	2.48e-05	1	1.2872e-07	0.000292791	0.999707
N/A	2.48e-05	1	1.27579e-07	3.28286e-05	0.999967
N/A	2.48e-05	1	2.80359e-07	0.000456767	0.999543
N/A	2.48e-05	1	2.02752e-07	0.000360191	0.99964
N/A	2.48e-05	1	1.07789e-07	2.63499e-05	0.999974
N/A	2.48e-05	1	1.8829e-07	9.91985e-07	0.999999
N/A	2.48e-05	1	1.02942e-07	0.00103241	0.998968
N/A	2.48e-05	1	1.51685e-07	1.1117e-07	1
N/A	2.48e-05	1	1.1553e-07	0.000173063	0.999827
N/A	2.48e-05	1	2.06931e-07	6.14364e-07	0.999999
N/A	2.48e-05	1	2.99625e-07	0.00130037	0.9987
N/A	2.48e-05	1	3.57283e-07	8.29056e-05	0.999917
N/A	2.48e-05	1	1.44551e-07	0.000197839	0.999802
N/A	2.48e-05	0.999999	8.29369e-07	0.00768407	0.992316
N/A	2.48e-05	1	1.54952e-07	6.64781e-06	0.999993
N/A	2.48e-05	1	1.27918e-07	1.15126e-06	0.999999
N/A	2.48e-05	1	2.74573e-07	1.70073e-05	0.999983
N/A	2.48e-05	1	3.52145e-07	8.51007e-06	0.999991
N/A	2.48e-05	1	3.96291e-07	5.13137e-05	0.999949
N/A	2.48e-05	0.999999	5.47235e-07	4.32572e-07	1
N/A	2.48e-05	1	3.55e-07	0.000312165	0.999688
N/A	2.48e-05	1	1.24107e-07	6.65121e-05	0.999933
N/A	2.48e-05	1	1.47696e-07	1.20145e-07	1
N/A	2.48e-05	1	1.17885e-07	2.21795e-07	1
N/A	2.48e-05	1	1.203e-07	0.0022549	0.997745
N/A	2.48e-05	1	2.56778e-07	1.16572e-07	1
N/A	2.48e-05	1	1.4876e-07	0.000238373	0.999762
N/A	2.48e-05	1	3.05743e-07	2.43417e-05	0.999976
N/A	2.48e-05	1	1.23553e-07	2.1099e-06	0.999998
N/A	2.48e-05	1	1.20993e-07	6.49285e-05	0.999935
N/A	2.48e-05	1	2.38758e-07	1.07201e-07	1
N/A	2.48e-05	1	1.5324e-07	4.21886e-07	1
N/A	2.48e-05	1	1.79787e-07	4.30471e-06	0.999996
N/A	2.48e-05	1	2.28487e-07	0.00031212	0.999688
N/A	2.48e-05	1	1.40277e-07	2.57516e-06	0.999997
N/A	2.48e-05	1	3.15139e-07	0.00108107	0.998919
N/A	2.48e-05	1	1.93127e-07	0.00593748	0.994063
N/A	2.48e-05	1	1.26021e-07	1.45075e-07	1
N/A	2.48e-05	1	3.30543e-07	3.16673e-07	1
N/A	2.48e-05	1	1.96263e-07	0.000110878	0.999889
N/A	2.48e-05	1	4.56489e-07	1.35639e-07	1
N/A	2.48e-05	1	1.83185e-07	5.14566e-06	0.999995
N/A	2.48e-05	1	1.68522e-07	1.19622e-07	1
N/A	2.48e-05	1	2.76205e-07	3.51438e-06	0.999996
N/A	2.48e-05	1	1.50151e-07	0.0024538	0.997546
N/A	2.48e-05	1	1.43158e-07	2.84479e-06	0.999997
N/A	2.48e-05	1	2.37939e-07	0.00138337	0.998617
N/A	2.48e-05	0.999999	5.9688e-07	3.09164e-06	0.999997
N/A	2.48e-05	1	2.14074e-07	0.000280418	0.99972
N/A	2.48e-05	1	1.50056e-07	2.34926e-07	1
